"Position","Name","Type","Signal","Label"
"A1","PE3","I/O","",""
"A2","PE1","I/O","",""
"A3","PB8","I/O","",""
"A4","PH3-BOOT0 (BOOT0)","I/O","",""
"A5","PD7","I/O","",""
"A6","PD5","I/O","",""
"A7","PB4 (NJTRST)","I/O","",""
"A8","PB3 (JTDO/TRACESWO)","I/O","",""
"A9","PA15 (JTDI)","I/O","",""
"A10","PA14 (JTCK/SWCLK)","I/O","",""
"A11","PA13 (JTMS/SWDIO)","I/O","",""
"A12","PA12","I/O","",""
"B1","PE4","I/O","",""
"B2","PE2","I/O","",""
"B3","PB9","I/O","",""
"B4","PB7","I/O","",""
"B5","PB6","I/O","",""
"B6","PD6","I/O","",""
"B7","PD4","I/O","",""
"B8","PD3","I/O","",""
"B9","PD1","I/O","",""
"B10","PC12","I/O","",""
"B11","PC10","I/O","",""
"B12","PA11","I/O","",""
"C1","PC13","I/O","",""
"C2","PE5","I/O","",""
"C3","PE0","I/O","",""
"C4","VDD","Power","",""
"C5","PB5","I/O","",""
"C8","PD2","I/O","",""
"C9","PD0","I/O","",""
"C10","PC11","I/O","",""
"C11","VDDUSB","Power","",""
"C12","PA10","I/O","",""
"D1","PC14-OSC32_IN (PC14)","I/O","",""
"D2","PE6","I/O","",""
"D3","VSS","Power","",""
"D10","PA9","I/O","",""
"D11","PA8","I/O","",""
"D12","PC9","I/O","",""
"E1","PC15-OSC32_OUT (PC15)","I/O","",""
"E2","VBAT","Power","",""
"E3","VSS","Power","",""
"E10","PC8","I/O","",""
"E11","PC7","I/O","",""
"E12","PC6","I/O","",""
"F1","PH0-OSC_IN (PH0)","I/O","",""
"F2","VSS","Power","",""
"F11","VSS","Power","",""
"F12","VSS","Power","",""
"G1","PH1-OSC_OUT (PH1)","I/O","",""
"G2","VDD","Power","",""
"G11","VDD","Power","",""
"G12","VDD","Power","",""
"H1","PC0","I/O","",""
"H2","NRST","Reset","",""
"H3","VDD","Power","",""
"H10","PD15","I/O","",""
"H11","PD14","I/O","",""
"H12","PD13","I/O","",""
"J1","VSSA","Power","",""
"J2","PC1","I/O","",""
"J3","PC2","I/O","",""
"J10","PD12","I/O","",""
"J11","PD11","I/O","",""
"J12","PD10","I/O","",""
"K1","VREF-","Power","",""
"K2","PC3","I/O","",""
"K3","PA2","I/O","",""
"K4","PA5","I/O","",""
"K5","PC4","I/O","",""
"K8","PD9","I/O","",""
"K9","PD8","I/O","",""
"K10","PB15","I/O","",""
"K11","PB14","I/O","",""
"K12","PB13","I/O","",""
"L1","VREF+","MonoIO","",""
"L2","PA0","I/O","",""
"L3","PA3","I/O","",""
"L4","PA6","I/O","",""
"L5","PC5","I/O","",""
"L6","PB2","I/O","",""
"L7","PE8","I/O","",""
"L8","PE10","I/O","",""
"L9","PE12","I/O","",""
"L10","PB10","I/O","",""
"L11","PB11","I/O","",""
"L12","PB12","I/O","",""
"M1","VDDA","Power","",""
"M2","PA1","I/O","",""
"M3","PA4","I/O","",""
"M4","PA7","I/O","",""
"M5","PB0","I/O","",""
"M6","PB1","I/O","",""
"M7","PE7","I/O","",""
"M8","PE9","I/O","",""
"M9","PE11","I/O","",""
"M10","PE13","I/O","",""
"M11","PE14","I/O","",""
"M12","PE15","I/O","",""
