"Position","Name","Type","Signal","Label"
"A1","VDD","Power","",""
"A2","PA15","I/O","",""
"A3","PC12","I/O","",""
"A4","PD2","I/O","",""
"A5","PB3","I/O","",""
"A6","PB7","I/O","",""
"A7","VSS","Power","",""
"A8","VDD","Power","",""
"B1","VSS","Power","",""
"B2","PA14","I/O","",""
"B3","PC11","I/O","",""
"B4","PB4","I/O","",""
"B5","PB6","I/O","",""
"B6","PB9","I/O","",""
"B7","VBAT","Power","",""
"B8","PC13","I/O","",""
"C1","PA12","I/O","",""
"C2","PA13","I/O","",""
"C3","PC10","I/O","",""
"C4","PB5","I/O","",""
"C5","PB8","I/O","",""
"C6","PDR_ON","Power","",""
"C7","PC15-OSC32_OUT","I/O","",""
"C8","PC14-OSC32_IN","I/O","",""
"D1","PA9","I/O","",""
"D2","PA10","I/O","",""
"D3","PA11","I/O","",""
"D4","BOOT0","Boot","",""
"D5","PC0","I/O","",""
"D6","PC3","I/O","",""
"D7","NRST","Reset","",""
"D8","PH0 - OSC_IN","I/O","",""
"E1","PC7","I/O","",""
"E2","PC9","I/O","",""
"E3","PA8","I/O","",""
"E4","PC4","I/O","",""
"E5","PA7","I/O","",""
"E6","PA0","I/O","",""
"E7","PC2","I/O","",""
"E8","PH1 - OSC_OUT","I/O","",""
"F1","PC6","I/O","",""
"F2","PB15","I/O","",""
"F3","PC8","I/O","",""
"F4","PB1","I/O","",""
"F5","PA5","I/O","",""
"F6","PA3","I/O","",""
"F7","VDDA","Power","",""
"F8","PC1","I/O","",""
"G1","PB14","I/O","",""
"G2","PB13","I/O","",""
"G3","PB12","I/O","",""
"G4","PB2","I/O","",""
"G5","PC5","I/O","",""
"G6","PA4","I/O","",""
"G7","PA1","I/O","",""
"G8","VSSA","Power","",""
"H1","VDD","Power","",""
"H2","VSS","Power","",""
"H3","VCAP_1","Power","",""
"H4","PB10","I/O","",""
"H5","PB0","I/O","",""
"H6","PA6","I/O","",""
"H7","VDD","Power","",""
"H8","PA2","I/O","",""
